binding socket to 'veth34a763b'
START
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xf9e26171256914f32c5fc5d0ec2e5b61, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688243449889
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x6867353a109c4614fb9a58e6272717c8, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688882337517
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x5cc6cc5cfad4b781cf0756204bde06a5, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689016069952
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x8a66fc2eb0d17b97d2399717cc969f6, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688699057970
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x8beb7e95afcfe096d61318a6c48b5c61, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688211341304
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x5c5f45659ceb84b7698ebb987aa3785d, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51688618940948
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x2f1e664cd1b3a6d918091b40c8901ab8, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690002273822
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xc41748f7f73baa0661e3eb8802ddc2b9, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689859473847
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x7ea7488e3c249807660ee584bde31295, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690002421551
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x5786c383d568cb7a6be9d5120e241256, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689195849279
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x76752ccae6a4f58b3d6823293d764d85, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689152461898
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xcf9b426541f187d7bbee579c46e57ac6, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689411837172
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xea8e1cfa3e81552a77e905a13d5c62c, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51690000155492
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x6970675c3cdc014775461d5421196934, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689544847162
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x7a165d6f0035586045317a18ba8e0378, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689680981801
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x55802ee7cab57b61b1aea7dc73ae467d, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689823814147
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xe545ec78ab809519c5543bcdc41339a8, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689586171227
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0xd1e9b07e8efff6dd9df5af42992fd382, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689725038295
saddr: 172.26.0.13.in-addr.arpa, daddr: 172.26.0.6.in-addr.arpa, spanid: 0x45c2248861f1d4bd5df2f0c972b1cc07, msg: b'GET /catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e HTTP/1.1', timestamp: 51689153897719
